code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Duration
01.03.02	прикладная математика и информатика	бакалавриат	https://abit.magtu.ru/01-03-02-prikladnaya-matematika-i-informatika	очная	25	10	4 года
01.04.02	прикладная математика и информатика	магистратура	https://abit.magtu.ru/01-04-02-prikladnaya-matematika-i-informatika	очная	15	5	2 года
03.04.02	физика	магистратура	https://abit.magtu.ru/03-04-02-fizika	очная	15	5	2 года
07.03.01	архитектура	бакалавриат	https://abit.magtu.ru/07-03-01-arhitektura	очная	32	6	5 лет
08.03.01	строительство	бакалавриат	https://abit.magtu.ru/08-03-01-stroitelstvo	очная	75	25	4 года
08.03.01	строительство	бакалавриат	https://abit.magtu.ru/08-03-01-stroitelstvo	очно-заочная	0	25	4 года 11 месяцев
08.04.01	строительство	магистратура	https://abit.magtu.ru/08-04-01-stroitelstvo	очная	16	5	2 года
08.04.01	строительство	магистратура	https://abit.magtu.ru/08-04-01-stroitelstvo	очно-заочная	0	15	2 года 4 месяца
09.03.01	информатика и вычислительная техника	бакалавриат	https://abit.magtu.ru/09-03-01-informatika-i-vychislitelnaya-tehnika	заочная	0	40	4 года 11 месяцев
09.03.01	информатика и вычислительная техника	бакалавриат	https://abit.magtu.ru/09-03-01-informatika-i-vychislitelnaya-tehnika	очная	75	25	4 года
09.03.03	прикладная информатика	бакалавриат	https://abit.magtu.ru/09-03-03-prikladnaya-informatika	очная	50	15	4 года
09.04.01	информатика и вычислительная техника	магистратура	https://abit.magtu.ru/09-04-01-informatika-i-vychislitelnaya-tehnika	очная	0	15	2 года
10.05.03	информационная безопасность автоматизированных систем	специалитет	https://abit.magtu.ru/10-05-03-informacionnaya-bezopasnost-avtomatizirovannyh-sistem	очная	50	10	5 лет 6 месяцев
11.03.04	электроника и наноэлектроника	бакалавриат	https://abit.magtu.ru/11-03-04-elektronika-i-nanoelektronika	очная	27	10	4 года
11.04.04	электроника и наноэлектроника	магистратура	https://abit.magtu.ru/11-04-04-elektronika-i-nanoelektronika	очная	15	10	2 года
12.03.01	приборостроение	бакалавриат	https://abit.magtu.ru/12-03-01-priborostroenie	очная	0	25	4 года
13.03.01	теплоэнергетика и теплотехника	бакалавриат	https://abit.magtu.ru/13-03-01-teploenergetika-i-teplotehnika	очная	25	10	4 года
13.03.02	электроэнергетика и электротехника	бакалавриат	https://abit.magtu.ru/13-03-02-elektroenergetika-i-elektrotehnika	заочная	10	70	4 года 11 месяцев
13.03.02	электроэнергетика и электротехника	бакалавриат	https://abit.magtu.ru/13-03-02-elektroenergetika-i-elektrotehnika	очная	75	50	4 года
13.04.01	теплоэнергетика и теплотехника	магистратура	https://abit.magtu.ru/13-04-01-teploenergetika-i-teplotehnika	очная	15	5	2 года
13.04.02	электроэнергетика и электротехника	магистратура	https://abit.magtu.ru/13-04-02-elektroenergetika-i-elektrotehnika	заочная	0	40	2 года 4 месяца
13.04.02	электроэнергетика и электротехника	магистратура	https://abit.magtu.ru/13-04-02-elektroenergetika-i-elektrotehnika	очная	45	40	2 года
13.04.02	электроэнергетика и электротехника (англоязычная программа)	магистратура	https://abit.magtu.ru/13-04-02-elektroenergetika-i-elektrotehnika-angloyazychnaya-programma	заочная	0	40	2 года 4 месяца
13.04.02	электроэнергетика и электротехника (англоязычная программа)	магистратура	https://abit.magtu.ru/13-04-02-elektroenergetika-i-elektrotehnika-angloyazychnaya-programma	очная	45	40	2 года
15.03.01	машиностроение	бакалавриат	https://abit.magtu.ru/15-03-01-mashinostroenie	заочная	0	25	4 года 11 месяцев
